,ID,tanggal,judul,narasi,label
0,0,17-Aug-20,Pemakaian Masker Menyebabkan Penyakit Legionnaires,A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these spikes in COVID are really something else due to mask induced infections ?,1
1,1,17-Jul-20,Instruksi Gubernur Jateng Tentang Penilangan  Bagi Yg Tidak Bermasker Di Muka Umum Rp.150.000 Menggunakan E-Tilang Via Apps Pikobar,Yth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,1
2,2,13-Jul-20,Foto Jim Rohn: Jokowi Adalah Presiden Terbaik Dlm Sejarah Bangsa Indonesia,"Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",1
3,3,8-Jul-20,"Ini Bukan Politik, Tapi Kenyataan Pak Jokowi Berhasil Memulangkan 11,000 Triliun Uang Negara Dari Swiss.","Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",1
4,4,24-Jun-20,Foto Kadrun Kalo Lihat Foto Ini Panas Dingin,Kadrun kalo lihat foto ini panas dingin . .,1
5,5,17-Jun-20,Event Promo Smartphone Jne 2020 Spesial Di Bulan Juni,"selamat siang teman teman fb ku semuanya,cuman mau memberi informasi dan rezeky gak kemana ya, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO ,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***",1
6,6,5-May-20,Mereka Sudah Mempersiapkan Diri Dengan Baik Untuk Menguasai Negri Ini!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,1
7,7,24-Mar-20,Foto Presiden Italia Menangis Karena Tak Cukup Lahan Untuk Mengubur 700An Korban Corona Per Hari,Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,1
8,8,9-Jan-20,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya cpet d tolongin malah d liati aja,1
9,9,24-Dec-19,Video Polisi China Telah Menganiaya Wanita Uighur Lehernya Di Cekik Pake Kaki,"Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa  Seolah polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",1
10,10,13-Oct-19,"Akhirnya, Jokowi Bersedia Mengundurkan Diri","Akhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih",1
11,11,26-Aug-19,Info Jalur Rawan Begal Dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,"Begal sudah mulai merambat ke wilayah CIANJUR!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari
 01. jalur gekbrong arah sukabmi
 02. Cibeber dari arah campaka sampe
 cilaku.",1
12,12,29-Jul-19,Dirut Pt Agung Podomoro Land Cosmas Batubara Meninggal Dunia,"Turut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya. Aamiin.",1
13,13,20-Apr-19,Sby Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,"Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID",1
14,14,2-Mar-19,Foto Anak Rohingya Disiksa Komunis,Relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasa?,1
15,15,25-Jan-19,Orang Cina Punya Ktp Cilacap Atas Nama Karsono,"Ini kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadi",1
16,16,14-Apr-18,Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,Fadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk! https://t.co/jVjxC0jhmp,1
17,17,14-Mar-18,Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  Di Hongkong,"INFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777",1
18,18,11-Dec-17,Indonesia Di Penuhi Pki,Hahhahhahahhaha indonesia di penuhi pki gimanah nih pa kowi.,1
19,19,25-Oct-17,Sandi Sarankan Warga Ngadu Ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota ,0
20,20,12-Oct-17,Demo Dan Konflik Antara Ojek Online Dengan Angkutan Umum Di Bandung,"Prediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besaran 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar.",1
21,21,13-Jul-17,"Irina, Istri Ahli It Hermansyah Disebut Mantan Psk","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",0
22,22,8-Mar-17,"Nezar Patria Adalah Kader Pki, Ikut Rapat Setiap Malam Di Istana Setelah Jam 8 Malam, Demikian Tuduhan Dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",0
23,23,13-Jul-16,: Hati -Hati Panggilan Telpon Nomor Tidak Dikenal !,Hati -hati Panggilan Telpon Nomor Tidak Dikenal !,1
24,24,15-Sep-15,Larangan Anti-Miras Di Minimarket Ditiadakan Oleh Rezim Jokowi Paska Gobel,"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",1
25,25,11-Aug-20,Corona Adalah Hoaks,CORONA IS A HOAX,1
26,26,28-Jul-20,Kapal Kargo Pengangkut Kadrun Tenggelam Di Laut China Selatan,"Kapal Kargo dari Indonesia tujuan ke China dilaporkan tenggelam di Laut China Selatan pada Sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung Kapal. Kapal tersebut mengangkut Kadrun tujuan China dengan tujuan sebagai objek percobaan Vaksin Covid-19, dimana harga monyet di China sangat mahal sementara harga Kadrun bisa 10 kali lebih murah dari harga monyet. Sampai saat ini masih dalam penyelidikan Otoritas Tiongkok mengenai sebab kecelakaan fatal tersebut.",1
27,27,20-Jul-20,Foto Gubernur Anies Sedang Makan Dengan Sekumpulan Orang Jawa Tulen,"Terlihat sekumpulan orang Jawa tulen yang sedang menyantap kuliner khas Jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar. Percakapan dari mereka pun memakai bahasa Jawa halus alias kromo inggil pula.Seperti, ana, akhi, antum, afwan, dan lain lain. Hmmm, sungguh mengagumkan sekali bukan? Nb : Seng wani protes PKI. Opo kowe Bong? ,",1
28,28,19-Jul-20,Mulan Jameela Undur Diri Dari Dpr Ri,Nah Mundur lebih terhormat daripada di pecat ! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya !,1
29,29,24-Jun-20,"Video Fkppi Dari Bandung Sudah Berkumpul Di Monas, Siap Siaga Apabila Ruu Hip Di-Syahkan Oleh Dpr","*FKPPI dari Bandung sudah berkumpul di Monas, siap siaga segala kemungkinan terjadi apabila RUU HIP di-syahkan oleh DPR.* *Revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman Komunisme!*",1
30,30,11-Jun-20,30 Pembantu Baru Positif Corona Di Penjaringan,Pembantu yang baru datang 30 Orang di tes semuanya positif Corona,1
31,31,14-May-20,Foto Sudjiatmi Disiksa Di Alam Barzakh,"SUDJIATMI DISIKSA DI ALAM BARZAKH Hj. Sudjiatmi ( Ibu Presiden Jokowi) Tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. Tanpa ampunan. Disaat tgl. 25 april 2020 bulan lalu Jenazah H. Sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. Beliau ternyata Presiden Joko Widodo.",1
32,32,9-May-20,Berdamai Dengan Corona Yang Dimaksud Jokowi Adalah Pemerintah Telah Kalah Dan Menyerah,"ASTAGHFIRULLAH, KEMARIN BERSAMA KITA LAWAN VIRUS CORONA SEKARANG AYO KITA BERDAMAI DNGN VIRUS CORONA ARTINYA PEMERINTAH TELAH KALAH DAN MENGIBARKAN BENDERA PUTIH TANDA MENYERAH.",1
33,33,20-Apr-20,Penerima Stiker Pada Pesan Whatsapp Dikenakan Sejumlah Biaya,"Tahukah teman2 ku di group ini Kenapa menggunakan stiker, menguntungkan pembuat nya, Setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima Rp.250,-.",1
34,34,12-Mar-20,Foto  Mahfud Md Mengaku Mirip Ashraf Ingin Nikahi Bcl,Mengaku Mirip Ashraf Pria ini Ingin Nikahi BCL,1
35,35,1-Mar-20,"Telah Diculik Umur Anak 5 Bulan, Kejadian D Angkot Lebak Bulus Parung Ibunda Si Bayi Dihipnotis","Telah diculik Keponakan Dari ibu yulianah
 Umur anak 5 bulan
 Jenis kelamin perempuan
 Kejadian d Angkot lebak bulus parung
 Ibunda si bayi dihipnotis d Angkot, Diturunkan di pondok cabe oleh pelaku.penculikan
 Kejadian Hari sabtu 29feb 2020 sekitar jam 16.00",1
36,36,12-Feb-20,Virus Corona Sudah Sampai Di Apartemen Taman Anggrek,"Dapet Info dari Client, Virus Corona udah sampe sini. di Apartement TA udah ada org wuhan yg kena tp management tutup2i. Supaya mall bs beroperasi dan mrk ga rugi. barusan bgt dpt info dr client saya yg suaminya org cina, mrk ada komunitas org cina di indo dan mrk kasih tau utk jauhi apartement TA dan sekitarnya",1
37,37,6-Feb-20,Presiden Cina Xi Jinping Mengunjungi Masjid Dan Meminta Umat Islam Berdoa Untuk Negeri Yang Sedang Dilanda Krisis,Presiden Cina xi jinping mengunjungi masjid dan meminta umat Islam untuk berdoa di negara yang sedang dilanda krisis ini. Kami membutuhkan bantuan Anda.,1
38,38,10-Jan-20,Pesan Berantai Biaya Tilang Baru,"BIAYA tilang terbaru di indonesia: Kapolri baru mantap
 
 1. Tidak ada STNK
 
 Rp. 50,000
 
 2. Tdk bawa SIM
 
 Rp. 25,000
 
 3. Tdk pakai Helm
 
 Rp. 25,000",1
39,39,30-Dec-19,Video Jokowi Mulai Pucat Sby Ungkap Pelaku Korupsi,JOKOWI MULAI PUC4T SBY UNGK4P P3L4KU K0rup51 Jiwasraya Diduga Orang Belakang JOKOW1 (HEBOH),1
40,40,20-Dec-19,All Jakarta Water Park,PERKENALKAN: ALL JAKARTA WATER PARK,1
41,41,3-Dec-19,Pergantian Kartu Keluarga Warga Dki Jakarta,"Dinas Dukcapil Jakarta tidak mewajibkan warga Jakarta mengganti KK lamanya dengan tenggat waktu. Imbauan untuk segera memutakhirkan data memang terus didorong pemerintah, terutama input data status pernikahan, golongan darah, dan susunan anggota keluarga.",1
42,42,27-Nov-19,Usus Ibunya Dimakan Oleh Bayi Ini,"Bayi ini 11 bln dlm perut ibunya.
 Habis usus ibunya dimakan oleh Bayi ini, kemudian dokter mengoprasi ibunya untuk mengeluarkan Bayi ini Ketika Bayi ini keluar, dia gigit tangan perawat Setelah 3 jam si Perawat meninggal, IBU Bayi ini pun meninggal setelah Bayi ini keluar Bayi ini lahir dgn berat 8 kg, setelah 3 jam bertambah naik beratnya menjadi 13 kg Bayi ini lahir hari jumat, tidak tahu Allah ingin kasi peringatan apa untuk kita semua Bayi ni kemudian dibunuh, dokter memberinya suntik mematikan sampai 17 kali baru bayi ini mati Ini kisah benar-benar terjadi di India Wallahu Alam",1
43,43,15-Oct-19,Foto Awan Mengerikan Di Jepang,"Ngeri si, semoga tmn2 yg ada disana selamat amin yrb #PrayForJapan",1
44,44,19-Sep-19,Narasi Presiden Korea Utara Menghukum Pejabatnya Yang Korupsi,"Presiden Korea Utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik.
 
 Caranya ?
 Berrjalan bergandengan tangan lalu
 Plung ! Dibawahnya kandang BUAYA! Luaaaar biasaaa!",1
45,45,14-Sep-19,Almarhum Habibie Di Formasi Jas Merah Mob Umm,"Adapun formasi tersebut adalah merah-putih, KH Ahmad Dahlan, Logo UMM, Students Today, Leaders Tomorrow, Peta Indonesia, dan Pray for Lombok.",1
46,46,9-Aug-19,Petugas Tewas Tersetrum Ketika Melakukan Perbaikan Listrik,KECAMATAN PEDURUNGAN,1
47,47,23-Apr-19,Tv Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,1
48,48,16-Apr-19,Ketua Kpu Umroh Bareng Jokowi,"ANEH ! MENJELANG HARI H PEMILU KOQ BISA2NYA KETUA KPU UMROH BARENG JOKOWI ? PADAHAL BANYAK MASALAH DI KPU SAAT INI TERUTAMA DI KPLN.
BUKANKAH INI PELANGGARAN ?",1
49,49,21-Feb-19,Tiket Promo Kereta Api Hut Bumn 21,"jalan2 naik kereta yuuuuk
 
 Hayo jalan2 Tiket KA Promo",1
50,50,25-Dec-18,Simulasi Orang Gila Di Bawa Ke Tps Saat Pemilu Nanti,Simulasi orang Gila di bawa ke TPS saat pemilu nanti.Pertama terjadi Di Dunia!,1
